category,source_filename,asset_path,dimensions
skills,icon_skill_fight02.dds,assets/references/skills/icon_skill_fight02.png,48x48
skills,icon_skill_fight09.dds,assets/references/skills/icon_skill_fight09.png,48x48
skills,icon_skill_fight15.dds,assets/references/skills/icon_skill_fight15.png,48x48
skills,icon_skill_illusion04.dds,assets/references/skills/icon_skill_illusion04.png,48x48
skills,icon_skill_illusion05.dds,assets/references/skills/icon_skill_illusion05.png,48x48
skills,icon_skill_illusion18.dds,assets/references/skills/icon_skill_illusion18.png,48x48
skills,icon_skill_adamant01.dds,assets/references/skills/icon_skill_adamant01.png,48x48
skills,icon_skill_adamant14.dds,assets/references/skills/icon_skill_adamant14.png,48x48
skills,icon_skill_adamant28.dds,assets/references/skills/icon_skill_adamant28.png,48x48
skills,icon_skill_will01.dds,assets/references/skills/icon_skill_will01.png,48x48
skills,icon_skill_will14.dds,assets/references/skills/icon_skill_will14.png,48x48
skills,icon_skill_will24.dds,assets/references/skills/icon_skill_will24.png,48x48
skills,icon_skill_death02.dds,assets/references/skills/icon_skill_death02.png,48x48
skills,icon_skill_death14.dds,assets/references/skills/icon_skill_death14.png,48x48
skills,icon_skill_death27.dds,assets/references/skills/icon_skill_death27.png,48x48
skills,icon_skill_wild01.dds,assets/references/skills/icon_skill_wild01.png,48x48
skills,icon_skill_wild14.dds,assets/references/skills/icon_skill_wild14.png,48x48
skills,icon_skill_wild23.dds,assets/references/skills/icon_skill_wild23.png,48x48
skills,icon_skill_magic01.dds,assets/references/skills/icon_skill_magic01.png,48x48
skills,icon_skill_magic13.dds,assets/references/skills/icon_skill_magic13.png,48x48
skills,icon_skill_magic30.dds,assets/references/skills/icon_skill_magic30.png,48x48
skills,icon_skill_vocation01.dds,assets/references/skills/icon_skill_vocation01.png,48x48
skills,icon_skill_vocation14.dds,assets/references/skills/icon_skill_vocation14.png,48x48
skills,icon_skill_vocation26.dds,assets/references/skills/icon_skill_vocation26.png,48x48
skills,icon_skill_romance01.dds,assets/references/skills/icon_skill_romance01.png,48x48
skills,icon_skill_romance14.dds,assets/references/skills/icon_skill_romance14.png,48x48
skills,icon_skill_romance28.dds,assets/references/skills/icon_skill_romance28.png,48x48
skills,icon_skill_love01.dds,assets/references/skills/icon_skill_love01.png,48x48
skills,icon_skill_love14.dds,assets/references/skills/icon_skill_love14.png,48x48
skills,icon_skill_love26.dds,assets/references/skills/icon_skill_love26.png,48x48
skills,icon_skill_horseback01.dds,assets/references/skills/icon_skill_horseback01.png,48x48
skills,icon_skill_battle_pet01.dds,assets/references/skills/icon_skill_battle_pet01.png,48x48
skills,icon_skill_vehicle07.dds,assets/references/skills/icon_skill_vehicle07.png,48x48
items,icon_item_sword_1h_0001.dds,assets/references/items/icon_item_sword_1h_0001.png,48x48
items,icon_item_sword_1h_0048.dds,assets/references/items/icon_item_sword_1h_0048.png,48x48
items,icon_item_sword_1h_0090.dds,assets/references/items/icon_item_sword_1h_0090.png,48x48
items,icon_item_blade_2h_0001.dds,assets/references/items/icon_item_blade_2h_0001.png,48x48
items,icon_item_blade_2h_0038.dds,assets/references/items/icon_item_blade_2h_0038.png,48x48
items,icon_item_blade_2h_0070.dds,assets/references/items/icon_item_blade_2h_0070.png,48x48
items,icon_item_axe_1h_0001.dds,assets/references/items/icon_item_axe_1h_0001.png,48x48
items,icon_item_axe_1h_0045.dds,assets/references/items/icon_item_axe_1h_0045.png,48x48
items,icon_item_axe_1h_0085.dds,assets/references/items/icon_item_axe_1h_0085.png,48x48
items,icon_item_staff_2h_0001.dds,assets/references/items/icon_item_staff_2h_0001.png,48x48
